Android SDK built for x86,
Date,cpu,memory,cpu-com.schneiderelectric.qatest,memory-com.schneiderelectric.qatest,
2016.06.22 00:20:38 EDT,14.0,604.0,0.0,229.2880859375,
2016.06.22 00:20:40 EDT,14.0,618.0,0.0,229.2880859375,
2016.06.22 00:20:42 EDT,26.0,619.0,0.0,229.2880859375,
2016.06.22 00:20:43 EDT,26.0,439.0,0.0,0.0,
2016.06.22 00:20:45 EDT,26.0,441.0,,,
2016.06.22 00:20:46 EDT,26.0,441.0,,,
2016.06.22 00:20:49 EDT,74.0,441.0,0.0,7.4716796875,
2016.06.22 00:20:51 EDT,74.0,448.0,0.0,35.392578125,
2016.06.22 00:20:52 EDT,74.0,448.0,0.0,35.392578125,
2016.06.22 00:20:55 EDT,98.0,449.0,0.0,51.9326171875,
2016.06.22 00:20:58 EDT,98.0,449.0,0.0,51.9326171875,
2016.06.22 00:20:59 EDT,98.0,458.0,0.0,60.091796875,
2016.06.22 00:21:00 EDT,98.0,458.0,0.0,60.091796875,
2016.06.22 00:21:02 EDT,95.0,446.0,35.0,78.5009765625,
2016.06.22 00:21:04 EDT,95.0,446.0,35.0,78.5009765625,
2016.06.22 00:21:06 EDT,95.0,505.0,35.0,108.3291015625,
2016.06.22 00:21:08 EDT,99.0,512.0,47.5,129.470703125,
2016.06.22 00:21:10 EDT,99.0,512.0,47.5,129.470703125,
2016.06.22 00:21:13 EDT,99.0,539.0,47.5,139.90234375,
2016.06.22 00:21:14 EDT,100.0,557.0,53.0,162.947265625,
2016.06.22 00:21:16 EDT,100.0,577.0,53.0,180.0478515625,
2016.06.22 00:21:18 EDT,100.0,577.0,53.0,180.0478515625,
2016.06.22 00:21:19 EDT,100.0,577.0,53.0,180.0478515625,
2016.06.22 00:21:20 EDT,98.0,574.0,47.0,190.2958984375,
2016.06.22 00:21:21 EDT,98.0,595.0,47.0,207.8310546875,
2016.06.22 00:21:23 EDT,98.0,595.0,47.0,207.8310546875,
2016.06.22 00:21:24 EDT,98.0,601.0,47.0,227.37109375,
2016.06.22 00:21:25 EDT,99.0,632.0,47.0,235.78125,
2016.06.22 00:21:26 EDT,99.0,632.0,47.0,235.78125,
2016.06.22 00:21:28 EDT,99.0,635.0,47.0,236.0419921875,
2016.06.22 00:21:29 EDT,99.0,635.0,47.0,236.0419921875,
2016.06.22 00:21:31 EDT,99.0,613.0,47.0,238.1708984375,
2016.06.22 00:21:32 EDT,99.0,613.0,47.0,238.1708984375,
2016.06.22 00:21:33 EDT,99.0,613.0,47.0,238.1708984375,
2016.06.22 00:21:34 EDT,99.0,592.0,51.5,216.9208984375,
2016.06.22 00:21:36 EDT,99.0,592.0,51.5,216.9208984375,
2016.06.22 00:21:37 EDT,99.0,603.0,51.5,222.0166015625,
2016.06.22 00:21:38 EDT,99.0,603.0,51.5,222.0166015625,
2016.06.22 00:21:40 EDT,97.0,614.0,41.0,226.4150390625,
2016.06.22 00:21:42 EDT,97.0,639.0,41.0,228.1025390625,
2016.06.22 00:21:45 EDT,97.0,639.0,41.0,228.1025390625,
2016.06.22 00:21:46 EDT,99.0,609.0,45.5,226.8681640625,
